2024-01-05|09:15:30|Glass slipper refund deposit|Cinderella|250.00
2024-01-15|16:45:12|Salary deposit from royal duties|Arendelle|1200.00
2024-01-20|11:20:33|Fairy godmother wand repair|Fairy God Mother|-85.00
2024-02-01|09:00:00|Monthly tower apartment rent|Rapunzel|-650.00
2024-02-03|15:30:45|Treasure chest find deposit|NeverLand|380.00
2024-02-14|14:20:15|True love kiss certificate|Prince Charming|-99.00
2024-03-01|09:30:00|Salary deposit from royal duties|Arendelle|1200.00
2024-03-10|10:50:40|Beast taming training class|Belle|-175.00
2024-03-18|12:40:15|Magic mirror consultation|Evil Queen|-52.30
2024-04-01|09:00:00|Monthly tower apartment rent|Rapunzel|-650.00
2024-04-12|15:35:00|Wish granting deposit|Geppetto Workshop|300.00
2024-04-15|11:50:45|Salary deposit from royal duties|Arendelle|1200.00
2024-04-27|12:30:45|Ball gown with enchantment|Fairy Godmother|-428.00
2024-05-13|15:50:15|Rescued princess reward deposit|Far Far Away|840.00
2024-05-30|14:45:00|Dragon slaying deposit|Shrek|625.00
2025-06-01|09:00:00|Monthly tower apartment rent|Rapunzel|-650.00
2025-06-15|10:00:00|Salary deposit from royal duties|Arendelle|1200.00
2025-06-23|12:40:00|Royal ball performance deposit|Prince Eric|480.00
2025-07-01|09:30:00|Treasure map purchase|Captain Hook|-95.00
2025-07-15|10:30:00|Salary deposit from royal duties|Arendelle|1200.00
2025-07-26|14:50:00|Tower structural repairs|Rapunzel|-335.75
2025-08-01|09:00:00|Monthly tower apartment rent|Rapunzel|-650.00
2025-08-15|11:25:30|Salary deposit from royal duties|Arendelle|1200.00
2025-08-30|13:25:45|True love kiss guarantee plan|Princess Protection|-285.00
2025-09-05|14:15:22|Underwater breathing potion|Ursula|-88.25
2025-09-15|16:45:12|Salary deposit from royal duties|Arendelle|1200.00
2025-09-22|10:40:25|Flying lessons enrollment|Peter Pan|-335.00
2025-10-01|09:00:00|Monthly tower apartment rent|Rapunzel|-650.00
2025-10-10|15:30:15|Dwarf mining equipment|Dwarfs Mine|-131.50
2025-10-15|11:50:45|Salary deposit from royal duties|Arendelle|1200.00
2025-10-15|11:51:00|Slaying a dragon|Sleeping Beauty|500.0
2025-10-15|13:40:55|Pixie dust|Tinkerbell|-49.99
2025-10-16|15:03:37|Robbed pirate ship|Black beard|2000.0
2025-10-16|15:41:35|Saved stitch from a tree|Lilo|4.0
2025-10-17|14:32:31|Slayed a dragon|Sleeping Beauty|500.0
2026-01-05|19:48:25.704361500|Pay check from looting|Captian Hook|500.0